{'episode': 0, 'reward': 53.300000000000175, 'avg_reward': np.float64(53.300000000000175), 'epsilon': np.float64(0.9950623544007555), 'max_position': 28, 'steps': 501}
{'episode': 1, 'reward': 151.90000000000006, 'avg_reward': np.float64(102.60000000000012), 'epsilon': np.float64(0.9901395339673296), 'max_position': 45, 'steps': 501}
{'episode': 2, 'reward': 58.5000000000003, 'avg_reward': np.float64(87.90000000000019), 'epsilon': np.float64(0.9852413151856788), 'max_position': 36, 'steps': 501}
{'episode': 3, 'reward': 15.999999999999954, 'avg_reward': np.float64(69.92500000000013), 'epsilon': np.float64(0.9803675751097647), 'max_position': 27, 'steps': 501}
{'episode': 4, 'reward': 48.399999999999984, 'avg_reward': np.float64(65.62000000000009), 'epsilon': np.float64(0.9755181914079681), 'max_position': 33, 'steps': 501}
{'episode': 5, 'reward': 17.29999999999994, 'avg_reward': np.float64(57.56666666666674), 'epsilon': np.float64(0.9706930423600187), 'max_position': 35, 'steps': 501}
{'episode': 6, 'reward': 33.59999999999985, 'avg_reward': np.float64(54.14285714285718), 'epsilon': np.float64(0.9658920068539395), 'max_position': 27, 'steps': 501}
{'episode': 7, 'reward': 92.30000000000035, 'avg_reward': np.float64(58.91250000000008), 'epsilon': np.float64(0.9611149643830071), 'max_position': 45, 'steps': 501}
{'episode': 8, 'reward': 25.60000000000003, 'avg_reward': np.float64(55.21111111111119), 'epsilon': np.float64(0.956361795042727), 'max_position': 29, 'steps': 501}
{'episode': 9, 'reward': 78.30000000000014, 'avg_reward': np.float64(57.52000000000008), 'epsilon': np.float64(0.9516323795278239), 'max_position': 36, 'steps': 501}
{'episode': 10, 'reward': 22.599999999999962, 'avg_reward': np.float64(54.345454545454615), 'epsilon': np.float64(0.9469265991292469), 'max_position': 31, 'steps': 501}
{'episode': 11, 'reward': 23.399999999999864, 'avg_reward': np.float64(51.766666666666715), 'epsilon': np.float64(0.9422443357311908), 'max_position': 26, 'steps': 501}
{'episode': 12, 'reward': 98.90000000000045, 'avg_reward': np.float64(55.392307692307774), 'epsilon': np.float64(0.9375854718081298), 'max_position': 45, 'steps': 501}
{'episode': 13, 'reward': 36.09999999999994, 'avg_reward': np.float64(54.01428571428578), 'epsilon': np.float64(0.9329498904218694), 'max_position': 25, 'steps': 501}
{'episode': 14, 'reward': 86.90000000000009, 'avg_reward': np.float64(56.206666666666734), 'epsilon': np.float64(0.9283374752186094), 'max_position': 45, 'steps': 501}
{'episode': 15, 'reward': 109.6000000000004, 'avg_reward': np.float64(59.543750000000095), 'epsilon': np.float64(0.9237481104260252), 'max_position': 45, 'steps': 501}
{'episode': 16, 'reward': 73.90000000000012, 'avg_reward': np.float64(60.38823529411775), 'epsilon': np.float64(0.9191816808503606), 'max_position': 47, 'steps': 501}
{'episode': 17, 'reward': 143.80000000000018, 'avg_reward': np.float64(65.02222222222233), 'epsilon': np.float64(0.9146380718735365), 'max_position': 45, 'steps': 501}
{'episode': 18, 'reward': 164.50000000000026, 'avg_reward': np.float64(70.25789473684222), 'epsilon': np.float64(0.910117169450275), 'max_position': 45, 'steps': 501}
{'episode': 19, 'reward': 78.50000000000024, 'avg_reward': np.float64(70.67000000000012), 'epsilon': np.float64(0.9056188601052356), 'max_position': 45, 'steps': 501}
{'episode': 20, 'reward': 84.50000000000031, 'avg_reward': np.float64(71.32857142857155), 'epsilon': np.float64(0.9011430309301681), 'max_position': 45, 'steps': 501}
{'episode': 21, 'reward': 78.90000000000025, 'avg_reward': np.float64(71.6727272727274), 'epsilon': np.float64(0.8966895695810772), 'max_position': 45, 'steps': 501}
{'episode': 22, 'reward': 146.7000000000003, 'avg_reward': np.float64(74.93478260869578), 'epsilon': np.float64(0.8922583642754043), 'max_position': 45, 'steps': 501}
{'episode': 23, 'reward': 135.9000000000002, 'avg_reward': np.float64(77.47500000000015), 'epsilon': np.float64(0.8878493037892201), 'max_position': 45, 'steps': 501}
{'episode': 24, 'reward': 120.70000000000032, 'avg_reward': np.float64(79.20400000000015), 'epsilon': np.float64(0.8834622774544342), 'max_position': 45, 'steps': 501}
{'episode': 25, 'reward': 152.00000000000014, 'avg_reward': np.float64(82.00384615384631), 'epsilon': np.float64(0.8790971751560166), 'max_position': 45, 'steps': 501}
{'episode': 26, 'reward': 134.80000000000027, 'avg_reward': np.float64(83.95925925925941), 'epsilon': np.float64(0.8747538873292338), 'max_position': 45, 'steps': 501}
{'episode': 27, 'reward': 184.8000000000001, 'avg_reward': np.float64(87.56071428571444), 'epsilon': np.float64(0.870432304956899), 'max_position': 45, 'steps': 501}
{'episode': 28, 'reward': 70.00000000000006, 'avg_reward': np.float64(86.95517241379325), 'epsilon': np.float64(0.8661323195666358), 'max_position': 45, 'steps': 501}
{'episode': 29, 'reward': 167.60000000000014, 'avg_reward': np.float64(89.64333333333349), 'epsilon': np.float64(0.8618538232281548), 'max_position': 56, 'steps': 501}
{'episode': 30, 'reward': 108.40000000000029, 'avg_reward': np.float64(90.24838709677435), 'epsilon': np.float64(0.8575967085505458), 'max_position': 45, 'steps': 501}
{'episode': 31, 'reward': 153.50000000000006, 'avg_reward': np.float64(92.22500000000015), 'epsilon': np.float64(0.853360868679581), 'max_position': 45, 'steps': 501}
{'episode': 32, 'reward': 127.6000000000002, 'avg_reward': np.float64(93.29696969696985), 'epsilon': np.float64(0.8491461972950337), 'max_position': 45, 'steps': 501}
{'episode': 33, 'reward': 152.9000000000001, 'avg_reward': np.float64(95.05000000000015), 'epsilon': np.float64(0.8449525886080094), 'max_position': 45, 'steps': 501}
{'episode': 34, 'reward': 176.00000000000014, 'avg_reward': np.float64(97.3628571428573), 'epsilon': np.float64(0.8407799373582905), 'max_position': 45, 'steps': 501}
{'episode': 35, 'reward': 78.90000000000028, 'avg_reward': np.float64(96.85000000000015), 'epsilon': np.float64(0.8366281388116943), 'max_position': 45, 'steps': 501}
{'episode': 36, 'reward': 160.7000000000001, 'avg_reward': np.float64(98.57567567567583), 'epsilon': np.float64(0.8324970887574441), 'max_position': 45, 'steps': 501}
{'episode': 37, 'reward': 157.1000000000002, 'avg_reward': np.float64(100.11578947368437), 'epsilon': np.float64(0.8283866835055536), 'max_position': 45, 'steps': 501}
{'episode': 38, 'reward': 157.89999999999998, 'avg_reward': np.float64(101.59743589743606), 'epsilon': np.float64(0.8242968198842241), 'max_position': 45, 'steps': 501}
{'episode': 39, 'reward': 129.90000000000012, 'avg_reward': np.float64(102.30500000000015), 'epsilon': np.float64(0.820227395237255), 'max_position': 45, 'steps': 501}
{'episode': 40, 'reward': 172.60000000000005, 'avg_reward': np.float64(104.01951219512209), 'epsilon': np.float64(0.8161783074214671), 'max_position': 45, 'steps': 501}
{'episode': 41, 'reward': 162.50000000000003, 'avg_reward': np.float64(105.41190476190489), 'epsilon': np.float64(0.8121494548041387), 'max_position': 45, 'steps': 501}
{'episode': 42, 'reward': 172.59999999999997, 'avg_reward': np.float64(106.9744186046513), 'epsilon': np.float64(0.8081407362604548), 'max_position': 45, 'steps': 501}
{'episode': 43, 'reward': 126.4000000000002, 'avg_reward': np.float64(107.41590909090924), 'epsilon': np.float64(0.8041520511709684), 'max_position': 45, 'steps': 501}
{'episode': 44, 'reward': 89.70000000000033, 'avg_reward': np.float64(107.02222222222238), 'epsilon': np.float64(0.8001832994190758), 'max_position': 45, 'steps': 501}
{'episode': 45, 'reward': 139.60000000000016, 'avg_reward': np.float64(107.73043478260887), 'epsilon': np.float64(0.7962343813885024), 'max_position': 45, 'steps': 501}
{'episode': 46, 'reward': 183.00000000000014, 'avg_reward': np.float64(109.33191489361718), 'epsilon': np.float64(0.7923051979608038), 'max_position': 45, 'steps': 501}
{'episode': 47, 'reward': 195.70000000000005, 'avg_reward': np.float64(111.13125000000014), 'epsilon': np.float64(0.7883956505128764), 'max_position': 45, 'steps': 501}
{'episode': 48, 'reward': 179.10000000000002, 'avg_reward': np.float64(112.51836734693892), 'epsilon': np.float64(0.7845056409144834), 'max_position': 45, 'steps': 501}
{'episode': 49, 'reward': 144.50000000000023, 'avg_reward': np.float64(113.15800000000014), 'epsilon': np.float64(0.7806350715257903), 'max_position': 45, 'steps': 501}
{'episode': 50, 'reward': 187.80000000000007, 'avg_reward': np.float64(114.62156862745113), 'epsilon': np.float64(0.7767838451949154), 'max_position': 45, 'steps': 501}
{'episode': 51, 'reward': 170.00000000000003, 'avg_reward': np.float64(115.6865384615386), 'epsilon': np.float64(0.7729518652554903), 'max_position': 45, 'steps': 501}
{'episode': 52, 'reward': 191.99999999999986, 'avg_reward': np.float64(117.12641509433976), 'epsilon': np.float64(0.7691390355242345), 'max_position': 45, 'steps': 501}
{'episode': 53, 'reward': 171.00000000000009, 'avg_reward': np.float64(118.1240740740742), 'epsilon': np.float64(0.7653452602985399), 'max_position': 45, 'steps': 501}
{'episode': 54, 'reward': 151.80000000000015, 'avg_reward': np.float64(118.73636363636376), 'epsilon': np.float64(0.7615704443540698), 'max_position': 45, 'steps': 501}
{'episode': 55, 'reward': 184.60000000000002, 'avg_reward': np.float64(119.91250000000014), 'epsilon': np.float64(0.7578144929423687), 'max_position': 45, 'steps': 501}
{'episode': 56, 'reward': 196.79999999999995, 'avg_reward': np.float64(121.26140350877206), 'epsilon': np.float64(0.754077311788483), 'max_position': 45, 'steps': 501}
{'episode': 57, 'reward': 166.6000000000002, 'avg_reward': np.float64(122.043103448276), 'epsilon': np.float64(0.750358807088596), 'max_position': 45, 'steps': 501}
{'episode': 58, 'reward': 135.4000000000001, 'avg_reward': np.float64(122.26949152542387), 'epsilon': np.float64(0.7466588855076726), 'max_position': 45, 'steps': 501}
{'episode': 59, 'reward': 155.4000000000002, 'avg_reward': np.float64(122.82166666666681), 'epsilon': np.float64(0.7429774541771169), 'max_position': 45, 'steps': 501}
{'episode': 60, 'reward': 197.60000000000005, 'avg_reward': np.float64(124.04754098360671), 'epsilon': np.float64(0.739314420692441), 'max_position': 45, 'steps': 501}
{'episode': 61, 'reward': 191.8, 'avg_reward': np.float64(125.14032258064532), 'epsilon': np.float64(0.7356696931109459), 'max_position': 45, 'steps': 501}
{'episode': 62, 'reward': 191.49999999999991, 'avg_reward': np.float64(126.19365079365095), 'epsilon': np.float64(0.7320431799494135), 'max_position': 45, 'steps': 501}
{'episode': 63, 'reward': 181.09999999999994, 'avg_reward': np.float64(127.05156250000013), 'epsilon': np.float64(0.7284347901818102), 'max_position': 45, 'steps': 501}
{'episode': 64, 'reward': 156.20000000000002, 'avg_reward': np.float64(127.50000000000014), 'epsilon': np.float64(0.7248444332370029), 'max_position': 45, 'steps': 501}
{'episode': 65, 'reward': 173.70000000000002, 'avg_reward': np.float64(128.20000000000016), 'epsilon': np.float64(0.7212720189964843), 'max_position': 45, 'steps': 501}
{'episode': 66, 'reward': 182.10000000000002, 'avg_reward': np.float64(129.00447761194044), 'epsilon': np.float64(0.7177174577921127), 'max_position': 45, 'steps': 501}
{'episode': 67, 'reward': 210.40000000000003, 'avg_reward': np.float64(130.20147058823545), 'epsilon': np.float64(0.7141806604038593), 'max_position': 45, 'steps': 501}
{'episode': 68, 'reward': 182.70000000000002, 'avg_reward': np.float64(130.96231884057985), 'epsilon': np.float64(0.7106615380575706), 'max_position': 45, 'steps': 501}
{'episode': 69, 'reward': 182.7999999999999, 'avg_reward': np.float64(131.70285714285728), 'epsilon': np.float64(0.7071600024227388), 'max_position': 45, 'steps': 501}
{'episode': 70, 'reward': 162.10000000000008, 'avg_reward': np.float64(132.1309859154931), 'epsilon': np.float64(0.7036759656102858), 'max_position': 45, 'steps': 501}
{'episode': 71, 'reward': 182.70000000000002, 'avg_reward': np.float64(132.83333333333343), 'epsilon': np.float64(0.7002093401703561), 'max_position': 45, 'steps': 501}
{'episode': 72, 'reward': 176.30000000000007, 'avg_reward': np.float64(133.42876712328777), 'epsilon': np.float64(0.6967600390901224), 'max_position': 45, 'steps': 501}
{'episode': 73, 'reward': 212.29999999999998, 'avg_reward': np.float64(134.49459459459467), 'epsilon': np.float64(0.6933279757916017), 'max_position': 45, 'steps': 501}
{'episode': 74, 'reward': 217.1999999999999, 'avg_reward': np.float64(135.5973333333334), 'epsilon': np.float64(0.6899130641294817), 'max_position': 45, 'steps': 501}
{'episode': 75, 'reward': 187.39999999999992, 'avg_reward': np.float64(136.27894736842114), 'epsilon': np.float64(0.686515218388959), 'max_position': 45, 'steps': 501}
{'episode': 76, 'reward': 175.29999999999995, 'avg_reward': np.float64(136.78571428571436), 'epsilon': np.float64(0.6831343532835874), 'max_position': 45, 'steps': 501}
{'episode': 77, 'reward': 193.79999999999993, 'avg_reward': np.float64(137.51666666666674), 'epsilon': np.float64(0.679770383953137), 'max_position': 45, 'steps': 501}
{'episode': 78, 'reward': 204.99999999999991, 'avg_reward': np.float64(138.37088607594941), 'epsilon': np.float64(0.6764232259614646), 'max_position': 45, 'steps': 501}
{'episode': 79, 'reward': 204.99999999999997, 'avg_reward': np.float64(139.2037500000001), 'epsilon': np.float64(0.6730927952943944), 'max_position': 45, 'steps': 501}
{'episode': 80, 'reward': 215.19999999999993, 'avg_reward': np.float64(140.1419753086421), 'epsilon': np.float64(0.6697790083576085), 'max_position': 45, 'steps': 501}
{'episode': 81, 'reward': 211.79999999999984, 'avg_reward': np.float64(141.01585365853668), 'epsilon': np.float64(0.6664817819745495), 'max_position': 45, 'steps': 501}
{'episode': 82, 'reward': 219.3999999999998, 'avg_reward': np.float64(141.9602409638555), 'epsilon': np.float64(0.6632010333843326), 'max_position': 45, 'steps': 501}
{'episode': 83, 'reward': 199.99999999999994, 'avg_reward': np.float64(142.65119047619058), 'epsilon': np.float64(0.6599366802396673), 'max_position': 45, 'steps': 501}
{'episode': 84, 'reward': 204.29999999999987, 'avg_reward': np.float64(143.37647058823538), 'epsilon': np.float64(0.6566886406047925), 'max_position': 45, 'steps': 501}
{'episode': 85, 'reward': 208.50000000000009, 'avg_reward': np.float64(144.13372093023264), 'epsilon': np.float64(0.6534568329534176), 'max_position': 45, 'steps': 501}
{'episode': 86, 'reward': 202.09999999999997, 'avg_reward': np.float64(144.8000000000001), 'epsilon': np.float64(0.6502411761666778), 'max_position': 45, 'steps': 501}
{'episode': 87, 'reward': 199.60000000000002, 'avg_reward': np.float64(145.42272727272734), 'epsilon': np.float64(0.6470415895310976), 'max_position': 45, 'steps': 501}
{'episode': 88, 'reward': 212.9, 'avg_reward': np.float64(146.18089887640457), 'epsilon': np.float64(0.643857992736564), 'max_position': 45, 'steps': 501}
{'episode': 89, 'reward': 220.10000000000005, 'avg_reward': np.float64(147.0022222222223), 'epsilon': np.float64(0.6406903058743124), 'max_position': 45, 'steps': 501}
{'episode': 90, 'reward': 225.10000000000005, 'avg_reward': np.float64(147.86043956043963), 'epsilon': np.float64(0.6375384494349193), 'max_position': 45, 'steps': 501}
{'episode': 91, 'reward': 196.59999999999997, 'avg_reward': np.float64(148.39021739130442), 'epsilon': np.float64(0.6344023443063075), 'max_position': 45, 'steps': 501}
{'episode': 92, 'reward': 212.89999999999992, 'avg_reward': np.float64(149.083870967742), 'epsilon': np.float64(0.63128191177176), 'max_position': 45, 'steps': 501}
{'episode': 93, 'reward': 204.79999999999995, 'avg_reward': np.float64(149.67659574468092), 'epsilon': np.float64(0.6281770735079443), 'max_position': 47, 'steps': 501}
{'episode': 94, 'reward': 211.7, 'avg_reward': np.float64(150.3294736842106), 'epsilon': np.float64(0.6250877515829463), 'max_position': 45, 'steps': 501}
{'episode': 95, 'reward': 206.59999999999985, 'avg_reward': np.float64(150.91562500000006), 'epsilon': np.float64(0.6220138684543146), 'max_position': 45, 'steps': 501}
{'episode': 96, 'reward': 209.29999999999987, 'avg_reward': np.float64(151.51752577319593), 'epsilon': np.float64(0.6189553469671143), 'max_position': 45, 'steps': 501}
{'episode': 97, 'reward': 188.09999999999997, 'avg_reward': np.float64(151.89081632653068), 'epsilon': np.float64(0.6159121103519891), 'max_position': 45, 'steps': 501}
{'episode': 98, 'reward': 191.80000000000013, 'avg_reward': np.float64(152.29393939393944), 'epsilon': np.float64(0.6128840822232363), 'max_position': 45, 'steps': 501}
{'episode': 99, 'reward': 194.60000000000002, 'avg_reward': np.float64(152.71700000000007), 'epsilon': np.float64(0.6098711865768879), 'max_position': 45, 'steps': 501}
{'episode': 100, 'reward': 203.90000000000003, 'avg_reward': np.float64(154.22300000000007), 'epsilon': np.float64(0.6068733477888036), 'max_position': 45, 'steps': 501}
