{'episode': 39, 'reward': 159.89999999999998, 'avg_reward': np.float64(119.4400000000001), 'epsilon': np.float64(0.820227395237255), 'max_position': 72, 'steps': 501}
{'episode': 40, 'reward': 74.70000000000026, 'avg_reward': np.float64(118.34878048780497), 'epsilon': np.float64(0.8161783074214671), 'max_position': 80, 'steps': 501}
{'episode': 41, 'reward': 174.90000000000003, 'avg_reward': np.float64(119.69523809523818), 'epsilon': np.float64(0.8121494548041387), 'max_position': 70, 'steps': 501}
{'episode': 42, 'reward': 192.79999999999995, 'avg_reward': np.float64(121.39534883720938), 'epsilon': np.float64(0.8081407362604548), 'max_position': 70, 'steps': 501}
{'episode': 43, 'reward': 224.3000000000001, 'avg_reward': np.float64(123.734090909091), 'epsilon': np.float64(0.8041520511709684), 'max_position': 88, 'steps': 501}
{'episode': 44, 'reward': 188.80000000000015, 'avg_reward': np.float64(125.18000000000009), 'epsilon': np.float64(0.8001832994190758), 'max_position': 88, 'steps': 501}
{'episode': 45, 'reward': 222.79999999999973, 'avg_reward': np.float64(127.30217391304355), 'epsilon': np.float64(0.7962343813885024), 'max_position': 71, 'steps': 501}
{'episode': 46, 'reward': 208.50000000000026, 'avg_reward': np.float64(129.02978723404263), 'epsilon': np.float64(0.7923051979608038), 'max_position': 154, 'steps': 501}
{'episode': 47, 'reward': 222.90000000000018, 'avg_reward': np.float64(130.98541666666677), 'epsilon': np.float64(0.7883956505128764), 'max_position': 88, 'steps': 501}
{'episode': 48, 'reward': 232.3999999999999, 'avg_reward': np.float64(133.05510204081642), 'epsilon': np.float64(0.7845056409144834), 'max_position': 88, 'steps': 501}
{'episode': 49, 'reward': 204.99999999999983, 'avg_reward': np.float64(134.49400000000009), 'epsilon': np.float64(0.7806350715257903), 'max_position': 70, 'steps': 501}
{'episode': 50, 'reward': 209.3000000000001, 'avg_reward': np.float64(135.96078431372558), 'epsilon': np.float64(0.7767838451949154), 'max_position': 88, 'steps': 501}
{'episode': 51, 'reward': 185.50000000000028, 'avg_reward': np.float64(136.91346153846163), 'epsilon': np.float64(0.7729518652554903), 'max_position': 149, 'steps': 501}
{'episode': 52, 'reward': 222.4999999999997, 'avg_reward': np.float64(138.52830188679255), 'epsilon': np.float64(0.7691390355242345), 'max_position': 70, 'steps': 501}
{'episode': 53, 'reward': 228.19999999999965, 'avg_reward': np.float64(140.18888888888898), 'epsilon': np.float64(0.7653452602985399), 'max_position': 70, 'steps': 501}
{'episode': 54, 'reward': 201.5000000000002, 'avg_reward': np.float64(141.30363636363646), 'epsilon': np.float64(0.7615704443540698), 'max_position': 88, 'steps': 501}
{'episode': 55, 'reward': 216.69999999999982, 'avg_reward': np.float64(142.65000000000006), 'epsilon': np.float64(0.7578144929423687), 'max_position': 71, 'steps': 501}
